Unnamed: 0,last_weight,average_weight,size,start_weight last_weight,start_weight average_weight,last_weight^2,last_weight average_weight,last_weight fasting,last_weight morning_temperature,last_weight evening_temperature,last_weight morning_do,last_weight evening_do,last_weight morning_salinity,last_weight morning_pH,last_weight transparency,last_weight long_cycle,average_weight^2,average_weight fasting,average_weight morning_temperature,average_weight evening_temperature,average_weight morning_do,average_weight evening_do,average_weight morning_salinity,average_weight morning_pH,average_weight transparency,average_weight long_cycle,fasting size,morning_temperature size,evening_temperature size,morning_do size,evening_do size,morning_salinity size,morning_pH size,transparency size,long_cycle size,size^2,average_adg
0.09501312335958005,0.10567192280536597,0.0680160037655919,0.04940283178323359,0.003238699141242859,0.002087141984063224,0.011211017921717255,0.007224858531480058,0.18931426167437948,0.1038270621133311,0.10577803510056569,0.10567192280536596,0.10566855203626002,0.10567192280536597,0.10385541607933363,0.10567192280536598,0.08370607575495047,0.00465600025777164,0.1914191419141914,0.06682855445601936,0.06808430321617703,0.06801600376559191,0.0680124910693657,0.0680160037655919,0.06684872287424068,0.06801600376559191,0.053929464512996246,0.05692199838104966,0.04940283178323359,0.049251541166044015,0.04992806413630891,0.04901043051581938,0.048963259512460174,0.04938063666223151,0.04940283178323359,0.03796964839658508,0.003177745570826669,0.2164048865619546
0.09553805774278215,0.10567192280536597,0.07507648858554955,0.06654106905343529,0.0029895641793530343,0.0021258963114683077,0.011211017921717255,0.007972263417149532,0.18931426167437948,0.1038270621133311,0.10577803510056569,0.10567192280536596,0.10566855203626002,0.10567192280536597,0.10385541607933363,0.10567192280536598,0.05867832061623894,0.0056691491027902625,0.21122112211221122,0.07376577464176531,0.07515187794449991,0.07507648858554955,0.07507300250065838,0.07507648858554955,0.0737874778501956,0.07507648858554955,0.04171506435555669,0.07392467322214241,0.06654106905343528,0.06639250604219789,0.06705683203610856,0.06615574235582933,0.06610942179456575,0.06651117426753052,0.06654106905343529,0.034201370281807024,0.005402628186702361,0.27399650959860383
0.09606299212598425,0.09096257943045423,0.07831254412803013,0.06356050604992194,0.006006865384463135,0.0051736473452538324,0.008313093885846029,0.007159979635154582,0.16302061421960454,0.08937452005969371,0.09105392108322638,0.09096257943045422,0.09095915322106693,0.09096257943045422,0.0893996765460942,0.09096257943045423,0.04803617687135948,0.006166813490204207,0.2202970297029703,0.07694533389356555,0.07839118302831456,0.07831254412803013,0.07830907024000086,0.07831254412803013,0.07696774054750828,0.07831254412803014,0.041367456645296806,0.07096768629325671,0.06356050604992194,0.063411468672432,0.06407791587962167,0.06317394899234934,0.06312748052811261,0.06353195033617418,0.06356050604992194,0.030854585712421497,0.00497415656527113,0.28534031413612565
0.09658792650918635,0.1574488114850553,0.12803012473523182,0.054991387414821104,0.015579184253518851,0.012672609698137561,0.024852541168306777,0.020215862710912812,0.28186790071518725,0.15470001014213478,0.1576069164416001,0.1574488114850553,0.1574456358657397,0.15744881148505532,0.1547396192363364,0.15744881148505532,0.1103167829280762,0.01644423620452519,0.35973597359735976,0.12579492603485995,0.12815868840692146,0.12803012473523182,0.12802683823535352,0.12803012473523182,0.12582814016985755,0.12803012473523182,0.08972771085883705,0.06246634887271034,0.0549913874148211,0.05484098623435506,0.05551353192972183,0.05460129307234437,0.05455439938705982,0.054966681533524665,0.0549913874148211,0.036758640822136375,0.0038397178303401624,0.2665794066317626
0.09711286089238845,0.2821840433043069,0.20908449046834549,0.04776352213130125,0.0436816079546911,0.03237533743254463,0.0797231324414191,0.05908811399795786,0.5048380311316786,0.27725756675698,0.28246740330863757,0.2821840433043069,0.2821813378185772,0.2821840433043069,0.2773242904782067,0.2821840433043069,0.2900246213215082,0.04379412616161252,0.5870627062706271,0.20543421376722354,0.20929444628806806,0.20908449046834549,0.20908150946659354,0.2090844904683455,0.20548504729382008,0.20908449046834549,0.2149460619789895,0.05529565557016253,0.04776352213130126,0.04761197061267277,0.04828966025024112,0.0473704441659054,0.047323191815910944,0.047742063499985506,0.04776352213130126,0.04900019738899218,0.0029952297765751716,0.22294938917975565
0.09763779527559055,0.14097434690515415,0.14097434690515415,0.046981124342879,0.019930741587861123,0.019930741587861123,0.019930741587861123,0.019930741587861123,0.2524190155658393,0.13851316304206088,0.14111590874218005,0.14097434690515415,0.1409711091927234,0.14097434690515417,0.13854919095910823,0.14097434690515417,0.1052042756817924,0.019930741587861123,0.396039603960396,0.13851316304206088,0.14111590874218005,0.14097434690515415,0.1409711091927234,0.14097434690515417,0.13854919095910823,0.14097434690515417,0.1052042756817924,0.05451944650133003,0.046981124342879,0.04682944830310923,0.04750769475916331,0.04658772340799188,0.04654043223346699,0.04696001721800447,0.046981124342879,0.03387109548877556,0.0029099849649274804,0.3686736474694589
0.09816272965879265,0.10096493292539421,0.08960931983996234,0.09075814345698117,0.00793932223885521,0.007048450217215237,0.010236623404103718,0.009087972821479464,0.18090029448885148,0.09920224865616714,0.10106631861501711,0.1009649329253942,0.10096154441539823,0.10096493292539421,0.09922957942869698,0.10096493292539423,0.053309118445455536,0.00806821151934735,0.251980198019802,0.08804488619075906,0.08969930259363117,0.08960931983996234,0.08960588853006916,0.08960931983996234,0.08806974850903614,0.08960931983996236,0.047322778893687655,0.0979501920193387,0.09075814345698116,0.09061343467154576,0.09126052580756457,0.09038281343410424,0.09033769458449754,0.09071736870980084,0.09075814345698115,0.04417252355713795,0.009532269372212233,0.1457242582897033
0.09868766404199475,0.10567192280536597,0.08140738997411155,0.07026677280782696,0.005169495095889002,0.003985093646233558,0.011211017921717255,0.00864243646463316,0.18931426167437948,0.1038270621133311,0.10577803510056569,0.10567192280536596,0.10566855203626002,0.10567192280536597,0.10385541607933363,0.10567192280536598,0.06349135045060654,0.006662345559161,0.22897689768976895,0.07998614874165086,0.08148913661756274,0.08140738997411155,0.08140392775071749,0.08140738997411154,0.08000922814530186,0.08140738997411157,0.04893546475685643,0.07762090688324953,0.07026677280782696,0.07011880275440525,0.07078047723171718,0.06988298406017932,0.06983684837763218,0.07023520418172595,0.07026677280782696,0.039422857485923536,0.005962811110129672,0.20200698080279228
0.09921259842519685,0.14356319133913864,0.11023770298893858,0.047167409530598586,0.008321384543744472,0.006392880630747717,0.020668236438379874,0.01587833444309118,0.2570466975178797,0.14105681044350107,0.1437073528092318,0.1435631913391386,0.14355996338419744,0.14356319133913864,0.14109340111695837,0.14356319133913864,0.09275671096793238,0.012198498114795743,0.3098349834983498,0.10831313116678015,0.11034840009154781,0.11023770298893858,0.11023434942849596,0.11023770298893858,0.10834247763045113,0.11023770298893859,0.07125081019335544,0.05470425818438539,0.047167409530598586,0.04701576313871959,0.04769387701894374,0.04677408549320939,0.046726803562620316,0.047146218713714244,0.047167409530598586,0.028879227902671396,0.002930172044668062,0.21247818499127397
0.09973753280839895,0.1303836196752177,0.10390680160037656,0.07982941244409891,0.012290602756573163,0.009799253137674914,0.017053232778033646,0.013596485181812328,0.23348758939840134,0.12810733276344197,0.13051454664969575,0.1303836196752177,0.13038034204578441,0.1303836196752177,0.12814105849517585,0.13038361967521772,0.09968533480505089,0.01084042966590614,0.29207920792079206,0.10209275706689462,0.10401114141848497,0.10390680160037655,0.10390342417843686,0.10390680160037656,0.10212072733534489,0.10390680160037657,0.07947060950070697,0.08710790661342446,0.07982941244409891,0.07968296431573747,0.08033783323377927,0.07944957110134426,0.079403909940836,0.07979354762816089,0.07982941244409891,0.05809439245196907,0.0075256911042737955,0.19982547993019195
