,last_weight,average_weight,last_weight^2,last_weight fasting,last_weight morning_temperature,last_weight evening_temperature,last_weight morning_do,last_weight evening_do,last_weight morning_salinity,last_weight morning_pH,last_weight transparency,last_weight long_cycle,average_weight fasting,average_weight morning_temperature,average_weight evening_temperature,average_weight morning_do,average_weight evening_do,average_weight morning_salinity,average_weight morning_pH,average_weight transparency,average_weight long_cycle,average_adg
22,8.5,8.5,72.25,8.5,238.0,255.0,42.245,47.94,195.5,67.15,323.0,569.5,8.5,238.0,255.0,42.245,47.94,195.5,67.15,323.0,569.5,0.282
23,5.3,4.15,28.09,5.3,148.4,159.0,26.340999999999998,29.891999999999996,121.89999999999999,41.87,201.4,286.2,4.15,116.20000000000002,124.50000000000001,20.625500000000002,23.406000000000002,95.45,32.785000000000004,157.70000000000002,224.10000000000002,0.209
24,10.5,8.025,110.25,10.5,294.0,315.0,52.184999999999995,59.22,241.5,82.95,399.0,619.5,8.025,224.70000000000002,240.75,39.88425,45.261,184.57500000000002,63.39750000000001,304.95,473.475,0.276
25,34.0,17.967,1156.0,0.0,952.0,1020.0,168.98,191.76,782.0,268.6,1292.0,4658.0,0.0,503.07599999999996,539.01,89.29598999999999,101.33388,413.241,141.9393,682.746,2461.479,0.27
26,28.4,15.968,806.56,0.0,795.1999999999999,852.0,141.148,160.176,653.1999999999999,224.35999999999999,1079.2,3976.0,0.0,447.104,479.04,79.36095999999999,90.05951999999999,367.264,126.14720000000001,606.784,2235.52,0.283
27,21.5,12.665,462.25,21.5,602.0,645.0,106.85499999999999,121.25999999999999,494.5,169.85,817.0,2085.5,12.665,354.62,379.95,62.945049999999995,71.43059999999998,291.29499999999996,100.0535,481.27,1228.5049999999999,0.306
28,22.5,13.184,506.25,22.5,630.0,675.0,111.82499999999999,126.89999999999999,517.5,177.75,855.0,2137.5,13.184,369.152,395.52,65.52448,74.35775999999998,303.23199999999997,104.1536,500.99199999999996,1252.48,0.34
29,9.47,6.51,89.68090000000001,9.47,265.16,284.1,47.0659,53.4108,217.81,74.81300000000002,359.86,539.7900000000001,6.51,182.28,195.29999999999998,32.354699999999994,36.7164,149.73,51.42900000000001,247.38,371.07,0.362
30,6.9,5.59,47.61000000000001,6.9,193.20000000000002,207.0,34.293,38.916,158.70000000000002,54.510000000000005,262.2,379.5,5.59,156.51999999999998,167.7,27.7823,31.527599999999996,128.57,44.161,212.42,307.45,0.323
31,9.69,6.683,93.89609999999999,9.69,271.32,290.7,48.159299999999995,54.651599999999995,222.86999999999998,76.551,368.21999999999997,542.64,6.683,187.124,200.49,33.21451,37.692119999999996,153.709,52.795700000000004,253.954,374.248,0.373
32,10.45,7.023,109.20249999999999,10.45,292.59999999999997,313.5,51.936499999999995,58.937999999999995,240.35,82.55499999999999,397.09999999999997,585.1999999999999,7.023,196.644,210.69,34.904309999999995,39.609719999999996,161.529,55.481700000000004,266.87399999999997,393.288,0.384
33,6.57,5.355,43.1649,6.57,183.96,197.10000000000002,32.6529,37.0548,151.11,51.903000000000006,249.66000000000003,361.35,5.355,149.94,160.65,26.61435,30.2022,123.165,42.304500000000004,203.49,294.52500000000003,0.299
34,9.19,6.297,84.45609999999999,9.19,257.32,275.7,45.674299999999995,51.831599999999995,211.36999999999998,72.601,349.21999999999997,514.64,6.297,176.316,188.91,31.296089999999996,35.51508,144.831,49.7463,239.286,352.632,0.35
